"","j_AFFGEOID","sc_pctAgriculture","lag_spctAgriculture","LSAcl_.pctAgriculture","sc_pctConstruction","lag_spctConstruction","LSAcl_.pctConstruction","sc_pctManuf","lag_spctManuf","LSAcl_.pctManuf","sc_pctWholesale","lag_spctWholesale","LSAcl_.pctWholesale","sc_pctRetail","lag_spctRetail","LSAcl_.pctRetail","sc_pctTransport","lag_spctTransport","LSAcl_.pctTransport","sc_pctInfo","lag_spctInfo","LSAcl_.pctInfo","sc_pctFinReal","lag_spctFinReal","LSAcl_.pctFinReal","sc_pctProfSci","lag_spctProfSci","LSAcl_.pctProfSci","sc_pctEduHealth","lag_spctEduHealth","LSAcl_.pctEduHealth","sc_pctArtsEntFood","lag_spctArtsEntFood","LSAcl_.pctArtsEntFood","sc_pctOtherServ","lag_spctOtherServ","LSAcl_.pctOtherServ","sc_pctPubAdmin","lag_spctPubAdmin","LSAcl_.pctPubAdmin"
"1","5001300US2707",2.11031127848658,0.951262153951221,1,0.568163124302131,0.228776645094615,5,1.02707551260243,0.376220611174161,5,0.624980392988263,0.138109760461832,5,0.0416640014868956,0.143893148361976,5,-0.0064252786853364,0.048817227279619,5,-0.731497978043639,-0.329501395950731,5,-0.961046163899107,-0.0650571585278983,5,-1.44876727600538,-0.879390601350778,2,0.445819378150294,0.5046534953083,5,-0.805974905783719,-0.335469183068292,5,-0.360859219109432,-0.411320669839318,5,-0.634421926272166,-0.317321859089267,5
"2","5001300US2702",-0.266424685536185,0.388838307653427,5,-0.776416737091518,-0.420072848716623,5,0.5247851757026,0.982129571594057,5,0.825433944652608,0.05632199983144,5,-0.152674206757129,0.159803174892381,5,0.662237478955666,-0.388704100050322,5,0.265047518048631,-0.265774330699033,5,1.07446226543473,0.128324668234671,5,0.0206060380692819,-0.442036734054692,5,-0.00519984043897697,0.387630899984917,5,-0.424518662594719,-0.398420532303016,5,-0.357789130814105,-0.544759792372845,5,-0.556902324447606,-0.681185554350676,5
"3","5001300US2706",-0.215543114933644,0.2266999648001,5,0.638403529976259,-0.455246019247384,5,1.19395947963128,0.664939481882311,1,0.527342330869376,0.156420245251394,5,0.532874917443176,0.0299296428988068,5,0.190154975442043,-0.231159698667754,5,-0.536758216358186,-0.181284081070194,5,0.0651268949371997,0.41823910730822,5,-0.475046911403873,-0.210283399372095,5,-0.0484649869135869,0.272358787683578,5,-0.817380022857193,-0.209113314382005,5,-0.147887998380845,-0.433787858472979,5,-0.640541535436721,-0.587346487320084,5
"4","5001300US2708",0.486713882563886,0.837784947989041,5,0.960837426796157,0.441894551193923,5,0.0603621907730705,1.00606187357087,5,-0.744204676118312,-0.0657507172182698,5,0.326816787426407,0.396217762609754,5,0.197569765946617,-0.093502021223719,5,-0.688988171093883,-0.645771478144802,5,-0.675382280608846,-0.52880449771128,5,-1.13762287427688,-1.08640867469104,2,0.720161910249356,0.185865592743144,5,0.468480605963424,-0.18249058048693,5,-0.210190163021804,-0.301853965986547,5,-0.00428381465774561,-0.396485796795196,5
"5","5001300US1701",-0.696356390321186,-0.525087863278432,5,-0.682528750693885,-1.17994099012278,2,-0.609734933600145,-0.0567539798300988,5,-0.606190322714571,-0.250396648731029,5,-0.579297687763641,-1.29892869814619,2,2.34004663922224,0.641216174309245,1,-0.0594028301083143,-0.354553978889846,5,0.460799819117761,-0.175395099548083,5,-0.120778582505524,-0.348581475087458,5,1.22548410227481,-0.742601428159266,5,-0.2973028331111,-0.704286150182076,5,-0.371778797100851,-1.11413599570609,5,0.345110686072367,-0.635999712199455,5
"6","5001300US1718",0.250092611479509,0.40107080342272,5,-0.297016195410613,-0.225779255068161,5,0.485073517705523,0.952974647812217,5,0.127374029633052,-0.0339388573782895,5,-0.244731501332887,0.0937858653564117,5,-0.422888036615285,0.534628727268995,5,-0.399247722146554,-0.324652301864458,5,1.5063014749336,-0.463187815428685,5,-0.902402206965192,-0.942844785513539,2,0.497354357470978,0.493471524455806,5,-0.726470594636184,-0.370853452709146,5,-0.169638952931993,-0.26109739939961,5,0.224866035475167,-0.256951891556441,5
"7","5001300US1707",-0.714180343448358,-0.704719338284881,5,-2.02802545271496,-1.02082489893851,2,-0.553820178851469,-0.257694198807052,5,-0.218902857684455,-0.547455981297121,5,-1.63230607908924,-1.75072859722647,2,0.704961760009932,0.140907323627884,5,0.551961662062639,-0.366374528773337,5,1.72109748584911,-0.203197459277895,5,1.79982470918969,-0.0820949357163755,5,0.70687232789696,-1.34118981656993,5,-0.217625999765613,-0.251628789142882,5,-0.597253500935329,-0.889941766552105,5,-0.438960220347271,-0.691134187124508,5
"8","5001300US1702",-0.566553720631939,-0.355283282334174,5,-0.878947556785241,-0.825241674673699,2,-0.0349058975674196,0.342628764994134,5,-0.62768465940903,-1.03383765660421,5,-0.691931628789497,-1.2950469872154,2,2.70296766096916,0.349181050782314,1,0.114566502117574,-0.776614734300517,5,0.0122624837017239,-0.933523843004162,5,-0.532724851388834,-1.19118760116353,5,1.27648508694705,-0.649098711668003,5,-0.552405467002251,-0.78857652529609,5,-0.0407310284837835,-1.22506225269207,5,0.138980124712812,-0.721621844330026,5
"9","5001300US3101",0.472512045997255,1.05182520325908,5,0.187675836447136,0.0112614771111379,5,0.314513296864345,0.271755767313341,5,-0.286881120515658,0.3703037745244,5,0.103839128284277,0.14036904153185,5,0.271890218511211,0.386967221602748,5,-0.12631083933392,-0.0824547480701703,5,0.299563066015347,0.814039033096908,5,-0.624935826553534,-0.739923713408325,5,0.295172308253798,0.110489157857319,5,-0.503998921533025,-0.593764601479094,5,-0.629923486322611,-0.441661995169638,5,0.266946846186803,-0.41969614530002,5
"10","5001300US0636",0.553411748953181,-0.152320150809294,5,0.924298572961585,0.941632463670111,1,-1.26971113207518,-0.299032774047635,5,-0.797063729590449,0.350816445588392,5,0.796661635131215,0.821504435240334,1,-0.668151626068632,0.590209187582577,5,-0.39959445354967,-0.505564780717515,5,-0.59679704886802,-0.501506808572502,5,0.242815867963759,-0.283415586171275,5,-0.493605337214609,-0.294151842164623,5,2.45566940724644,0.430977821726353,1,1.20973130926648,0.364831864057641,5,-0.218245052243695,0.610129219092506,5
